category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id,date,year,month,day,day_of_week,total_price
Beauty,0c232b86,,Credit Card,622.58,d74443b5,Hair Dryer,3,1.0,Los Angeles,USA,IL,8025 Main St,32319,,2024-05-26 19:43:43,7b66c9d9-f804-410d-95c2-03e64f84b289,2024-05-26,2024,5,26,1,1867.7400000000002
Electronics,56453b87,,Bank Transfer,258.11,271ee52f,Tablet,7,3.0,Houston,USA,CA,8058 Cedar St,26548,,2025-01-19 07:01:43,34174c08-9874-48d3-8080-a045100eedef,2025-01-19,2025,1,19,1,1806.77
Clothing,acd4ee72,,PayPal,123.24,e6d44111,Socks,6,0.0,New York,USA,IL,7583 Pine St,34440,"exclusive,new,sale",2025-01-20 10:48:43,36d4df10-24e5-49e3-b596-6ec3deb0d210,2025-01-20,2025,1,20,2,739.4399999999999
Beauty,1d1c1dca,,Credit Card,117.51,c3ad068e,Nail Polish,2,0.0,Phoenix,USA,NY,6088 Oak St,43047,trending,2024-12-25 08:46:43,3cf8e7c2-d521-4450-9559-3100745699e6,2024-12-25,2024,12,25,4,235.02
Automotive,87084f65,,Cash,843.43,668b36ff,Floor Mats,1,2.0,New York,USA,NY,6824 Pine St,86919,sale,2024-10-04 13:07:43,e93ef562-3987-4127-b0ab-cb40ed512695,2024-10-04,2024,10,4,6,843.43
Sports,f830fa85,,PayPal,212.69,6e8d47ef,Tennis Racket,7,4.0,Phoenix,USA,NY,2607 Pine St,83167,,2024-09-14 19:30:43,10f48081-acf8-4ee4-a1a4-4e607fd02087,2024-09-14,2024,9,14,7,1488.83
Books,7d01bf01,,Gift Card,25.65,57620fe4,History,8,0.0,Chicago,USA,AZ,6937 Oak St,20047,"trending,new,sale",2025-03-08 23:27:43,c883089b-a645-45a4-b8d0-c08824a64e4f,2025-03-08,2025,3,8,7,205.2
Health,8ea6e64b,,Bank Transfer,306.11,13d42505,Thermometer,2,4.0,New York,USA,CA,5361 Cedar St,95808,,2024-05-29 18:23:43,cfa5a64d-5430-48a0-8a7b-bcb55275ced3,2024-05-29,2024,5,29,4,612.22
Toys,8a8aaccf,,Gift Card,336.02,361fc14e,Building Blocks,3,0.0,Phoenix,USA,IL,2672 Main St,59242,"sale,new,exclusive",2025-02-01 05:22:43,3d36e5ee-ac64-47fb-ab12-ccab57f98844,2025-02-01,2025,2,1,7,1008.06
Toys,c903a5e5,,PayPal,325.35,41e81236,Action Figure,4,0.0,Phoenix,USA,AZ,5172 Cedar St,99617,,2024-05-03 12:42:43,fa841b4c-a19d-43d5-889f-dd1ae1eecfb1,2024-05-03,2024,5,3,6,1301.4
Grocery,5afb1e60,,Gift Card,588.44,b5157664,Cereal,10,0.0,Chicago,USA,NY,8473 Main St,50669,"limited,exclusive,new",2024-05-20 11:03:43,327be698-11fc-47fd-b48a-0662140a6852,2024-05-20,2024,5,20,2,5884.400000000001
Automotive,10b5b541,,Credit Card,127.79,f230a620,Air Freshener,7,3.0,Phoenix,USA,CA,3122 Cedar St,52671,,2024-12-14 06:49:43,011dd34e-205c-4dd7-a359-a2ccebb238f7,2024-12-14,2024,12,14,7,894.5300000000001
Sports,bed5946b,,Bank Transfer,251.62,7eaac94d,Tennis Racket,6,2.0,Chicago,USA,AZ,697 Main St,99494,exclusive,2024-05-20 13:12:43,52db84b4-5226-4ff9-99a9-817b50edd03e,2024-05-20,2024,5,20,2,1509.72
Health,dd4e447f,,Cash,191.51,3694efba,Thermometer,7,4.0,Chicago,USA,AZ,9815 Main St,82763,"sale,exclusive,limited",2024-04-19 07:54:43,3d85c83b-ca01-47a9-8502-b8e868b46e6c,2024-04-19,2024,4,19,6,1340.57
Clothing,961ce10d,,PayPal,78.38,399c5c5d,Dress,2,3.0,Los Angeles,USA,AZ,7578 Cedar St,58729,,2024-03-25 14:01:43,6efb9af1-7848-437c-86f9-3dda598d0f0e,2024-03-25,2024,3,25,2,156.76
Automotive,b24ef018,,PayPal,363.19,bfc9856b,Air Freshener,6,0.0,Los Angeles,USA,CA,1540 Oak St,62283,,2024-12-31 14:08:43,5d22a920-171a-422e-846d-15863648d476,2024-12-31,2024,12,31,3,2179.14
Books,87c524b8,,Debit Card,747.69,b8cc4eae,Self-Help,2,3.0,Chicago,USA,AZ,2402 Oak St,30654,sale,2025-03-16 09:06:43,342a121d-b915-42f3-801e-655c4d371916,2025-03-16,2025,3,16,1,1495.38
Beauty,27f3eee0,,Credit Card,688.6,07f0c0eb,Face Cream,1,1.0,New York,USA,TX,6989 Cedar St,54203,,2024-08-04 06:34:43,54df7414-9131-45b7-8cc7-8c79d694711f,2024-08-04,2024,8,4,1,688.6
Clothing,17837060,,Gift Card,98.78,6f729d4e,Dress,1,0.0,New York,USA,IL,1605 Oak St,13102,"new,sale",2025-03-06 10:49:43,75c491ca-600d-4a62-991e-3d2d74ff369d,2025-03-06,2025,3,6,5,98.78
Automotive,d523acee,,Cash,243.05,bfd856b3,Floor Mats,8,3.0,Los Angeles,USA,NY,5958 Pine St,17411,"exclusive,new",2025-02-12 23:27:43,f0d166a3-6e65-4b1d-8fd3-18bc65ec98c9,2025-02-12,2025,2,12,4,1944.4
Automotive,1d8bd510,,Gift Card,982.3,eae6f6c7,Car Wax,8,0.0,Houston,USA,CA,4218 Pine St,90924,"limited,trending",2024-10-01 16:18:43,f7e00ee1-f8f9-44f2-83b8-6ea9045625a9,2024-10-01,2024,10,1,3,7858.4
Toys,fe64e25a,,Cash,384.96,0e262480,Action Figure,9,3.0,Chicago,USA,NY,1488 Oak St,58921,sale,2024-05-11 04:09:43,f8e0fea8-7a74-4212-998c-7925f55481c8,2024-05-11,2024,5,11,7,3464.64
Grocery,e6e6882a,,PayPal,552.4,c4355844,Canned Goods,8,2.0,Los Angeles,USA,IL,9543 Cedar St,87039,,2024-11-08 04:17:43,490e9fa7-f869-47aa-a973-89e9b1437c9e,2024-11-08,2024,11,8,6,4419.2
Electronics,9a02c678,,PayPal,385.52,ea43faba,Headphones,8,0.0,Chicago,USA,AZ,4528 Cedar St,23768,sale,2024-08-26 03:22:43,92f1f1cd-bab7-495d-82c0-6490436d375b,2024-08-26,2024,8,26,2,3084.16
Electronics,dd48e717,,Cash,11.52,47489baf,TV,6,0.0,New York,USA,IL,8453 Maple St,67803,,2024-09-14 01:07:43,8bea43dd-2196-49a7-8ac1-e156ece8ccc7,2024-09-14,2024,9,14,7,69.12
Books,4f179ced,,Cash,865.57,9e7ae87e,History,5,5.0,Chicago,USA,TX,9692 Cedar St,11628,,2024-10-13 23:14:43,f56347fe-d0cd-4cca-9962-c4e7c02ae72b,2024-10-13,2024,10,13,1,4327.85
Clothing,b816e40a,,Credit Card,938.92,a04dc7df,Jacket,5,0.0,New York,USA,AZ,7366 Pine St,14580,,2024-04-05 06:14:43,781ca1f8-85b0-44e6-bb01-99333656ca51,2024-04-05,2024,4,5,6,4694.599999999999
Toys,7edb6ed7,,Credit Card,62.1,750c4cb6,Building Blocks,10,3.0,Chicago,USA,NY,2187 Main St,78414,"new,limited",2024-08-21 20:14:43,82716a3e-6c7c-4f09-b2b8-2b696639871b,2024-08-21,2024,8,21,4,621.0
Home & Kitchen,540bc4e6,,Gift Card,761.82,92455e2b,Coffee Maker,7,0.0,Chicago,USA,NY,8957 Maple St,50152,,2024-11-27 10:10:43,008be703-3c06-4f24-9b3a-1742e7391e4a,2024-11-27,2024,11,27,4,5332.740000000001
Electronics,f7b0c4e8,,Cash,672.24,d08aafc1,Headphones,6,1.0,Houston,USA,TX,6580 Cedar St,25476,exclusive,2025-02-27 04:29:43,b0460516-0e9f-4280-9207-200437c18b15,2025-02-27,2025,2,27,5,4033.44
Home & Kitchen,e6694f9d,,Credit Card,221.72,734ed4fd,Toaster,8,5.0,Houston,USA,AZ,7776 Maple St,83962,,2024-12-02 00:16:43,703831f0-1953-4e2b-b628-5a0284b02b1e,2024-12-02,2024,12,2,2,1773.76
Grocery,a569ff71,,Debit Card,644.32,5c9e1379,Cereal,10,5.0,Phoenix,USA,IL,1542 Oak St,77583,"limited,trending",2024-09-04 15:58:43,3a0e47e5-919f-48dd-89a9-fd98049957a6,2024-09-04,2024,9,4,4,6443.200000000001
Grocery,ebf8f967,,Gift Card,920.9,a4c58423,Coffee,1,1.0,Houston,USA,CA,7300 Maple St,71325,"new,trending",2024-09-30 06:21:43,2fa3875e-7b80-4034-961e-a44474e38e00,2024-09-30,2024,9,30,2,920.9
Automotive,b1a35f3d,,Bank Transfer,25.89,e4361224,Tire Gauge,3,1.0,Phoenix,USA,NY,3161 Pine St,70197,,2025-03-12 16:48:43,bf95525a-3a02-438c-9753-2c650776768c,2025-03-12,2025,3,12,4,77.67
Books,29bbb91a,,Bank Transfer,547.07,04289cec,Cookbook,2,5.0,Phoenix,USA,CA,6696 Cedar St,66013,trending,2024-07-14 04:23:43,6c6a0801-6996-434e-9251-8c93e830bd6f,2024-07-14,2024,7,14,1,1094.14
Home & Kitchen,9b5ab169,,Debit Card,473.67,666fcf03,Plates,8,4.0,Los Angeles,USA,CA,903 Pine St,99951,"exclusive,new",2024-09-27 03:45:43,62c82787-856f-4083-b2ae-107d51861175,2024-09-27,2024,9,27,6,3789.36
Books,b58590da,,Debit Card,933.68,e8760d29,History,3,0.0,Los Angeles,USA,AZ,8470 Main St,15016,"limited,exclusive",2024-05-15 17:13:43,2515df64-6507-465b-ae5b-d1fa513cfc68,2024-05-15,2024,5,15,4,2801.04
Beauty,7a689eba,,Gift Card,70.97,1922db41,Nail Polish,9,0.0,Los Angeles,USA,IL,9571 Oak St,33162,"exclusive,sale,limited",2025-01-09 04:00:43,bc4e601d-81c9-4192-aee1-31e39496b5eb,2025-01-09,2025,1,9,5,638.73
Clothing,e42621eb,,Bank Transfer,840.9,ab9f66bf,Jacket,6,3.0,Phoenix,USA,AZ,6735 Oak St,48367,,2025-01-31 08:52:43,e8f24741-4dd0-4a58-810d-8e5743c0ef54,2025-01-31,2025,1,31,6,5045.4
Beauty,9941ec16,,Debit Card,603.47,fe0b04d6,Perfume,1,1.0,Chicago,USA,NY,999 Oak St,76028,"sale,exclusive",2024-04-28 22:23:43,3311eaf0-83e9-409f-b45c-ce60c972b4c8,2024-04-28,2024,4,28,1,603.47
Sports,e1794381,,Credit Card,133.39,fd4a2807,Bicycle,4,0.0,Chicago,USA,NY,1706 Main St,94062,limited,2024-12-27 02:01:43,5aa232f3-3981-4e8d-bbdf-d72415c59ce7,2024-12-27,2024,12,27,6,533.56
Grocery,a76d48de,,Debit Card,553.06,3b5828a0,Coffee,8,5.0,Chicago,USA,AZ,7759 Oak St,97651,"limited,sale,exclusive",2025-03-04 13:31:43,30ab779f-2c5e-4c37-8ae5-3eab78e8af09,2025-03-04,2025,3,4,3,4424.48
Health,8147c628,,Credit Card,935.5,781e0116,Thermometer,4,5.0,New York,USA,TX,3132 Cedar St,28504,trending,2025-02-15 04:34:43,87fce609-f253-45ce-b322-d231b3ebca93,2025-02-15,2025,2,15,7,3742.0
Health,f800cec2,,Bank Transfer,682.91,75cfc557,Vitamins,1,0.0,Houston,USA,AZ,3759 Cedar St,96920,"limited,new,trending",2024-05-13 06:29:43,98be5838-951e-48b3-ba23-4d60ce7f1367,2024-05-13,2024,5,13,2,682.91
Toys,37be9dad,,Gift Card,421.26,b4a9a4b6,Building Blocks,4,4.0,Chicago,USA,CA,1636 Cedar St,34310,"exclusive,new",2024-05-23 03:54:43,ab4b421e-1ac3-4589-8ab9-3a4fd758d9d6,2024-05-23,2024,5,23,5,1685.04
Sports,6e08905c,,Bank Transfer,725.07,7f6a10e1,Basketball,2,3.0,Houston,USA,TX,473 Cedar St,54988,"new,exclusive",2025-01-07 03:07:43,a4e7388a-567d-4a67-b2b9-966ab5f67e4e,2025-01-07,2025,1,7,3,1450.14
Grocery,e3adb1ad,,Bank Transfer,963.51,1b0fe4eb,Coffee,5,5.0,Chicago,USA,TX,7243 Oak St,78207,"limited,sale,new",2024-07-14 17:58:43,d36b616e-ce87-430e-97d6-b5bfb722d29b,2024-07-14,2024,7,14,1,4817.55
Electronics,9005d9b5,,Bank Transfer,69.8,0fd3a1b1,Smartphone,1,0.0,New York,USA,NY,1812 Main St,62418,exclusive,2024-04-01 02:03:43,2547b862-19a8-4845-85ef-b2c5c9bb9397,2024-04-01,2024,4,1,2,69.8
Automotive,07ef7340,,Bank Transfer,121.92,f1691205,Tire Gauge,7,0.0,Chicago,USA,CA,2090 Cedar St,51197,,2024-08-23 20:10:43,9579a97f-b9eb-41e6-a3b5-2052301cfc15,2024-08-23,2024,8,23,6,853.44
Electronics,059467ee,,Debit Card,674.62,10ffceb2,TV,6,2.0,New York,USA,IL,8398 Main St,91348,"sale,new",2024-03-27 15:59:43,76d9fa71-6a8b-4c25-9e49-9ea1332391f5,2024-03-27,2024,3,27,4,4047.7200000000003
Grocery,f4d48f5c,,Cash,769.87,9a7a32dc,Snacks,3,0.0,Houston,USA,AZ,202 Oak St,20651,,2024-07-27 00:30:43,71fe0f90-8102-4257-b5e3-69e70e71f1a9,2024-07-27,2024,7,27,7,2309.61
Health,3f7b7866,,Debit Card,310.41,2cfbc6a6,Bandages,10,5.0,New York,USA,IL,9453 Maple St,24131,,2024-11-24 08:01:43,3eb7c0e0-6e41-49af-bf2f-f88d041f1787,2024-11-24,2024,11,24,1,3104.1000000000004
Beauty,443963a3,,Credit Card,586.49,85ff037c,Hair Dryer,6,0.0,Houston,USA,AZ,279 Main St,57328,trending,2025-01-03 11:29:43,ed588f18-645a-4a53-b755-7c0a6e31377e,2025-01-03,2025,1,3,6,3518.94
Health,5fd05578,,Cash,855.46,46ad45ac,Vitamins,3,5.0,Los Angeles,USA,NY,5007 Main St,43891,sale,2024-06-05 05:31:43,a1d9fba9-ab29-425e-beea-32bbafadc260,2024-06-05,2024,6,5,4,2566.38
Toys,f26fad9f,,Gift Card,243.42,98e3a130,Action Figure,7,0.0,Los Angeles,USA,TX,5364 Main St,52343,sale,2024-12-02 20:52:43,05558b7a-0ad3-44b1-a8b6-c5b98649fcb3,2024-12-02,2024,12,2,2,1703.9399999999998
Beauty,e2f7fa23,,Credit Card,800.44,c619b8c3,Nail Polish,6,0.0,Phoenix,USA,NY,5996 Cedar St,78321,,2024-06-30 22:15:43,5ffc9441-efdd-4ced-8bad-fbb449f2d64b,2024-06-30,2024,6,30,1,4802.64
Books,1269dac8,,PayPal,846.36,aabfd9ba,Biography,4,4.0,Los Angeles,USA,CA,8459 Main St,23984,,2024-05-03 19:28:43,18c8d16a-5a9a-4987-8bde-c4d530312b01,2024-05-03,2024,5,3,6,3385.44
Grocery,28bbb3e8,,Gift Card,823.67,203e27ce,Frozen Meals,1,0.0,Los Angeles,USA,AZ,2279 Cedar St,15532,limited,2024-06-15 18:05:43,b39e4834-aaef-4860-acb4-42bb63f28bcc,2024-06-15,2024,6,15,7,823.67
Home & Kitchen,7915fdf9,,Credit Card,948.87,b7d5bbfe,Coffee Maker,8,2.0,Phoenix,USA,AZ,6736 Cedar St,56268,,2024-07-20 06:48:43,29edf1c1-8328-41a8-9dac-77e9f6a16103,2024-07-20,2024,7,20,7,7590.96
Beauty,71c3bcba,,Cash,473.18,b13496de,Hair Dryer,6,1.0,New York,USA,TX,2793 Pine St,11186,"new,sale,exclusive",2025-01-24 13:40:43,96e516d8-9bc0-47fd-b8be-1f6085a4f00f,2025-01-24,2025,1,24,6,2839.08
Beauty,5bd05f1c,,Debit Card,636.09,f104bda9,Face Cream,10,4.0,New York,USA,TX,6256 Oak St,83976,,2025-01-22 06:20:43,a7fd1ad4-4149-4bf5-a3d8-c42b3e2a3923,2025-01-22,2025,1,22,4,6360.900000000001
Health,74d6ea09,,Gift Card,733.89,d549de30,Pain Reliever,4,2.0,Houston,USA,TX,1256 Cedar St,30828,,2024-07-14 01:41:43,d36a9a05-3772-452d-b9e5-6abd032ca7c0,2024-07-14,2024,7,14,1,2935.56
Electronics,ffa028a7,,Debit Card,370.71,a6f4bc0f,Smart Watch,7,0.0,Phoenix,USA,CA,9746 Cedar St,43719,"sale,new,exclusive",2024-06-23 17:21:43,1de94504-6276-4716-9291-e1ad93aed2d7,2024-06-23,2024,6,23,1,2594.97
Books,83a9aeae,,PayPal,706.05,e35bf7be,Cookbook,4,0.0,Chicago,USA,CA,3369 Oak St,66776,sale,2024-03-22 05:59:43,da9dafac-ffb0-4d17-a037-c58dea30ca24,2024-03-22,2024,3,22,6,2824.2
Automotive,2e0f9750,,Cash,795.86,1797ae77,Jump Starter,10,3.0,Los Angeles,USA,CA,5994 Main St,72498,,2024-09-08 06:24:43,0bea2440-7f9c-4498-b7ae-fc4521c38c78,2024-09-08,2024,9,8,1,7958.6
Books,ec9bca06,,Gift Card,402.18,c26aad9b,History,2,0.0,Houston,USA,CA,8027 Maple St,72192,new,2024-10-09 06:02:43,4088b520-f0a9-441f-8667-5eccc82c0e44,2024-10-09,2024,10,9,4,804.36
Beauty,9aa8a7a0,,Debit Card,824.93,d29bdc72,Nail Polish,8,0.0,Phoenix,USA,IL,5219 Maple St,77229,"new,trending,exclusive",2024-03-23 17:37:43,f8fd7328-7b82-4ea0-91df-ffc8ba8ae687,2024-03-23,2024,3,23,7,6599.44
Beauty,429bbc8e,,PayPal,807.12,86e7112c,Nail Polish,6,0.0,Los Angeles,USA,NY,5977 Oak St,13170,"exclusive,new",2025-02-16 13:56:43,bc77150f-69c6-4bbc-aad0-99b7b26a160a,2025-02-16,2025,2,16,1,4842.72
Clothing,ad60144d,,Debit Card,94.95,3e8b644e,Jacket,6,2.0,Phoenix,USA,CA,7063 Cedar St,65385,"new,limited",2024-08-06 03:38:43,1e2b5695-7d13-433a-8595-de66f4c176b7,2024-08-06,2024,8,6,3,569.7
Clothing,706467ce,,Bank Transfer,72.59,76540a1a,Dress,10,1.0,Los Angeles,USA,CA,3228 Cedar St,44460,"limited,trending,sale",2025-01-17 11:11:43,6207c2ba-3c7c-4602-bc4a-1b5ee7f7072a,2025-01-17,2025,1,17,6,725.9000000000001
Home & Kitchen,eb8d4569,,Credit Card,334.63,f8c5d89e,Toaster,4,5.0,New York,USA,NY,6666 Pine St,50366,sale,2025-01-23 21:37:43,8b2fce57-131d-4701-9d04-8fef2233bd1f,2025-01-23,2025,1,23,5,1338.52
Books,9974dc76,,Gift Card,523.18,361eee95,Science Fiction,9,2.0,New York,USA,IL,3180 Pine St,65006,limited,2024-08-04 06:28:43,b702fc35-d16b-4cfb-8e04-6a32d2990721,2024-08-04,2024,8,4,1,4708.62
Books,f282bf02,,PayPal,120.89,a069b8de,Cookbook,7,5.0,Houston,USA,CA,6163 Main St,21402,,2024-05-01 12:42:43,2e7ca4f4-4723-4cfa-8291-284eaeb97be8,2024-05-01,2024,5,1,4,846.23
Home & Kitchen,b51db4ad,,PayPal,261.71,b2974b64,Plates,3,1.0,Los Angeles,USA,NY,8868 Oak St,40865,"sale,exclusive",2025-01-28 08:42:43,4b3f0fcc-08b5-458f-b91f-8e9fd51f6c19,2025-01-28,2025,1,28,3,785.1299999999999
Books,1fb6ac63,,Gift Card,223.16,e0d17cb1,Biography,2,2.0,Phoenix,USA,AZ,5351 Cedar St,39450,"trending,limited,exclusive",2025-01-29 15:23:43,2ce9db14-1796-461f-94dc-9d5c7644c5c8,2025-01-29,2025,1,29,4,446.32
Electronics,8f580751,,Cash,485.01,0cea8f91,Laptop,10,4.0,Chicago,USA,TX,6231 Cedar St,65459,"exclusive,limited",2024-08-05 14:15:43,a8e99e98-1eb0-49c0-9e30-b8051cb4a4f5,2024-08-05,2024,8,5,2,4850.1
Books,8cc2f672,,Bank Transfer,190.75,6281a3b1,Fiction Novel,6,3.0,Houston,USA,NY,960 Pine St,78686,,2024-04-28 09:58:43,3ecac81a-a29b-462a-a263-ce5061e54607,2024-04-28,2024,4,28,1,1144.5
Books,11a2071d,,Cash,309.15,36132182,History,4,4.0,Phoenix,USA,IL,8344 Maple St,10392,"new,exclusive",2024-09-04 09:02:43,4438c146-a4b7-4800-b26a-e6420f1f456a,2024-09-04,2024,9,4,4,1236.6
Beauty,3f01a0ae,,Cash,254.98,1d0bc833,Lipstick,8,3.0,Houston,USA,TX,9667 Oak St,48518,"trending,limited",2024-11-06 01:49:43,551c7d2c-e325-4f9d-8bce-446d13c20d9c,2024-11-06,2024,11,6,4,2039.84
Electronics,044b4893,,Bank Transfer,106.44,2488ebb4,Tablet,5,3.0,Los Angeles,USA,AZ,8123 Oak St,61231,,2024-07-09 05:11:43,fb4374de-67d9-4692-addc-29a7517f1dd4,2024-07-09,2024,7,9,3,532.2
Grocery,b0f0767c,,Bank Transfer,239.62,51c06046,Coffee,2,1.0,Phoenix,USA,IL,8165 Pine St,96863,"sale,exclusive,trending",2024-07-06 04:15:43,0fd0374e-3ac3-445b-937b-063988747424,2024-07-06,2024,7,6,7,479.24
Clothing,3ec0ac28,,Debit Card,179.46,9c12b7c6,T-shirt,9,4.0,Houston,USA,AZ,5373 Oak St,18802,limited,2024-03-20 11:59:43,64c0c228-ef5d-4fec-bcda-f3b7654800b6,2024-03-20,2024,3,20,4,1615.14
Sports,0cb5b7de,,Debit Card,960.79,d6860070,Basketball,6,2.0,Houston,USA,NY,6843 Maple St,50824,"new,trending,sale",2024-10-05 13:08:43,55560a42-dcac-44cd-afc5-26cbc4fbe0c5,2024-10-05,2024,10,5,7,5764.74
Beauty,b472d1d0,,Debit Card,722.71,dd2d4cb7,Shampoo,7,4.0,New York,USA,IL,2893 Cedar St,30040,"limited,sale,exclusive",2024-07-28 19:45:43,36cfc6a0-307c-4dcd-b384-43ca6938102a,2024-07-28,2024,7,28,1,5058.97
Beauty,da2919f7,,Bank Transfer,91.0,3c23968f,Nail Polish,6,2.0,Chicago,USA,AZ,4761 Maple St,33786,,2024-12-09 23:53:43,c4a2d6b5-0253-40aa-bf2a-45924515ff13,2024-12-09,2024,12,9,2,546.0
Sports,43b81052,,PayPal,916.08,4782facf,Bicycle,10,3.0,New York,USA,TX,5347 Cedar St,19910,sale,2024-11-07 09:48:43,1a1cbd56-6aea-42f4-ab3f-6a2c7f78a643,2024-11-07,2024,11,7,5,9160.800000000001
Electronics,fc8c7d8a,,PayPal,824.51,5a592bb6,Headphones,10,1.0,Phoenix,USA,CA,9627 Cedar St,58327,"limited,new,exclusive",2024-08-01 10:25:43,fde7668c-6fe9-4236-a99f-64b467ceb1ea,2024-08-01,2024,8,1,5,8245.1
Electronics,df9cbd53,,PayPal,48.74,deed860e,Smartphone,3,2.0,Chicago,USA,TX,2036 Maple St,17192,"limited,exclusive",2025-03-02 16:57:43,f547e947-2a35-42aa-a4dc-3c7b3f7937b4,2025-03-02,2025,3,2,1,146.22
Electronics,dc004430,,Debit Card,836.98,a4bc39a0,Smartphone,1,5.0,Chicago,USA,AZ,391 Cedar St,80276,new,2025-02-26 06:36:43,158f191f-93ad-454f-a527-4d95b1a6a6fb,2025-02-26,2025,2,26,4,836.98
Electronics,e69b6265,,Gift Card,526.57,c0733895,Laptop,6,1.0,Chicago,USA,NY,3531 Main St,65290,"exclusive,trending,sale",2024-03-21 11:06:43,83f8b9a0-272c-4509-b67b-7d5d0936fdba,2024-03-21,2024,3,21,5,3159.42
Health,13556ec6,,Credit Card,669.0,de64bc46,Thermometer,8,0.0,Los Angeles,USA,TX,4834 Main St,82291,exclusive,2024-05-09 05:05:43,445aca92-d216-49d3-8ac5-41cedd530b05,2024-05-09,2024,5,9,5,5352.0
Home & Kitchen,b3480597,,Cash,645.06,fd06c507,Coffee Maker,10,0.0,Los Angeles,USA,IL,5625 Main St,46412,"sale,new,exclusive",2024-03-28 05:06:43,9032e529-e467-4d12-a14a-3c1fe75cf60f,2024-03-28,2024,3,28,5,6450.599999999999
Beauty,e0e8cea8,,Credit Card,566.13,c7b64bd9,Hair Dryer,6,0.0,Houston,USA,NY,7136 Pine St,78601,"limited,new",2024-04-19 06:35:43,89909fbe-3705-4ff6-8ec3-6f0fd5e8be12,2024-04-19,2024,4,19,6,3396.7799999999997
Grocery,154da73b,,Debit Card,927.18,b74661c7,Snacks,8,1.0,Phoenix,USA,AZ,1464 Maple St,57004,,2024-10-13 04:20:43,7db9a185-2662-4802-b877-a24ac584ca62,2024-10-13,2024,10,13,1,7417.44
Electronics,b52500bc,,PayPal,32.59,7b15231a,Smartphone,8,0.0,Phoenix,USA,IL,1954 Cedar St,74326,,2024-05-09 06:30:43,bbd00c29-2895-4f2f-8d3a-9046eaf13d50,2024-05-09,2024,5,9,5,260.72
Electronics,653e7f6c,,Debit Card,515.09,0e6f588f,Tablet,7,5.0,Houston,USA,AZ,8066 Oak St,94020,"limited,trending,exclusive",2024-08-11 22:59:43,273d29f6-535b-4a74-959f-2bf7b83a60cd,2024-08-11,2024,8,11,1,3605.63
Clothing,293d72e5,,PayPal,745.45,f844d996,T-shirt,7,0.0,Los Angeles,USA,NY,9696 Main St,49850,"exclusive,new",2024-11-06 20:45:43,614ed3b7-647b-4b43-8100-5640b391185d,2024-11-06,2024,11,6,4,5218.150000000001
Beauty,9ac024a0,,PayPal,718.86,a93d4c6f,Lipstick,4,0.0,Chicago,USA,TX,449 Main St,35628,"sale,new",2024-06-26 20:47:43,5f326526-75cf-473e-96f9-70f4e9ef096b,2024-06-26,2024,6,26,4,2875.44
Health,40f593c6,,Gift Card,796.73,fadba25e,Vitamins,5,5.0,Chicago,USA,TX,3324 Oak St,33313,,2024-08-12 19:46:43,d8d7f975-52b9-4fa2-beb8-c31479202299,2024-08-12,2024,8,12,2,3983.65
Health,f44bf9d1,,Debit Card,952.75,139ab976,Bandages,6,0.0,Phoenix,USA,TX,5884 Maple St,86695,"trending,new,exclusive",2024-09-18 06:58:43,654d33c8-47cc-4a91-92e0-ea1bae59bbe7,2024-09-18,2024,9,18,4,5716.5
Clothing,4a646e27,,Debit Card,980.63,05cf480c,Dress,5,4.0,Los Angeles,USA,IL,8842 Cedar St,11913,"trending,limited",2024-04-12 17:11:43,8d27cbed-6b0f-40a5-8f87-6c4609e04ce7,2024-04-12,2024,4,12,6,4903.15
Books,1050c0d1,,Debit Card,748.21,2bf843f8,Fiction Novel,6,4.0,Houston,USA,AZ,9262 Maple St,92086,"limited,new",2024-05-30 23:49:43,ad6a1a66-1923-488a-b7f1-21ca8aebb391,2024-05-30,2024,5,30,5,4489.26
Home & Kitchen,8482e49f,,Credit Card,99.77,493d35dc,Plates,3,5.0,New York,USA,AZ,2467 Oak St,62044,"limited,trending",2024-04-01 16:47:43,c7c894ed-e24e-48f4-8516-87100507818a,2024-04-01,2024,4,1,2,299.31
Sports,3132b443,,Debit Card,369.21,22632dc8,Dumbbells,4,4.0,Chicago,USA,TX,7376 Oak St,58104,"limited,sale,exclusive",2025-02-19 02:49:43,35f98e55-2993-4a1a-8b86-5bac8ac20102,2025-02-19,2025,2,19,4,1476.84
Health,50746c6b,,Bank Transfer,771.1,ddc91b78,Vitamins,3,3.0,Chicago,USA,AZ,656 Oak St,80076,"trending,sale,exclusive",2024-10-17 03:18:43,17a0059e-2be9-4e92-9cda-529915b061dd,2024-10-17,2024,10,17,5,2313.3
Sports,635b2d59,,Debit Card,563.82,fca2c127,Yoga Mat,5,0.0,Los Angeles,USA,IL,2300 Oak St,27177,sale,2024-07-10 06:14:43,6a7c074e-f15f-4f3a-8846-226aabb9d847,2024-07-10,2024,7,10,4,2819.1000000000004
Toys,0b222eaf,,Credit Card,186.29,53d5658e,Action Figure,9,4.0,New York,USA,IL,9087 Cedar St,33594,limited,2024-07-09 08:54:43,d8d3b9e7-0e64-454e-9f47-1df8cb5ca9ae,2024-07-09,2024,7,9,3,1676.61
